;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMP;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;abEsE;;;;abEsa;;;;;;;;;;;abEsE;abEsE;abEse;;;;;;;;abEse;abEs;abEsâ;;;;;;;;abEs;abEse;abEs;abEs;abEs;;;;;;;
1;abandonner;abâdOnam;abâdOnE;;;abâdOnEr;abâdOna;;abâdOn6rE;;abâdOn6ra;abâdOn6rô;abâdOn6ra;abâdOnjô;abâdOnE;;;;abâdOnE;abâdOne;;;;;;;abâdOnô;abâdOne;abâdOn;abâdOnâ;;abâdOn6rE;abâdOn6rje;abâdOn6rE;;abâdOn6rE;abâdOnô;abâdOn;abâdOne;abâdOn;abâdOn;abâdOn;;;;;abâdOn;abâdOn;abâdOn
2;abattre;;;;;abatir;abati;;;;;;abatra;;;;;abatE;abatE;abatr;;;;;;;;;aba;abatâ;;abatrE;;;abatrE;;;aba;abate;aba;abat;aba;;;abat;;;;abat
3;abdiquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;abdik;abdikâ;;abdik6rE;;;;;;;;;;;;;;;;;
4;aberrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abErâ;;;;;;;;;;;;;;;;;;;
5;abhorrer;;;;;;;;;;;;;;;;;;abOrE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;abjurer;;;;;;;;;;;;;;;;;;;;;;;;;;;abZyre;abZyr;;;;;;;;;abZyr;;;;abZyr;;;;;;;
7;abolir;;;;;;abOli;;;;;;;;;;;abOlisE;abOlisE;abOlir;;;;;;;;;;abOlisâ;;;;;;;;abOli;;;;;;;;;;;
8;abonder;;;;;;;;;;;;;;;;;abôdE;;abôde;;;;;;;;;;abôdâ;;;;;;;;abôd;;;;abôd;;;;;;;
9;abonner;;;;;;;;;;;;;;;;;;;abOne;;;;;;abOna;;;abOn;;;;;;;;;;;;;;;;;;;;
10;aborder;abOrdam;abOrdE;;;abOrdEr;abOrda;;;;;;;abOrdjô;;abOrdje;;abOrdE;abOrdE;abOrde;;;;;;;abOrdô;;abOrd;abOrdâ;abOrd6rjô;;;;;;abOrdô;abOrd;;abOrd;abOrd;abOrd;;;;;;;
11;abouler;;;;;;;;;;;;;;;;;;;abule;;;;;;;;abule;abul;;;;;;;;;;;;;abul;;;;;;;
12;aboutir;;;;;abutir;abuti;;;;abutira;abutirô;;;;;;abutisE;abutisE;abutir;;;;;;;;;;abutisâ;;;;;;abutirE;;;;;abutis;abuti;;;;;;;
13;aboyer;;;;;;abwaja;;;;;;abwara;;;;;abwajE;abwajE;abwaje;;;;;;;;;abwa;abwajâ;;;;;;;abwajô;abwa;;;abwa;abwa;;;;;;;
14;abreuver;;;;;;;;;;;;;;;;;abr6vE;abr6vE;abr6ve;;;;;;;;;;;;;;;;;;abr9v;;;;abr9v;;;;;;;
